NAME,RATING,DATE,REVIEW
Ilovemymac,5.0 out of 5 stars,"Reviewed in the United States on October 2, 2020","I love my AirPods. I thought about getting the AirPods Pro but I didn’t wanna spend that much more just to have the noise canceling feature. Now I will probably upgrade in a year or two now that they’ve even improved the AirPods Pro even more.

Coming from somebody who has an iPad and iPhone and an iMac at home having the AirPods and the ability to Switch between them so effortlessly without having to unpair and repair is so nice.
I’ve had a number of Bluetooth headsets over the years from Plantronics to generic to a number of other different companies I don’t even know if I could remember every different manufacture that I’ve had. I always hated that they were bulky they never fit in my ear just right. I just never felt like they were great and it was always complicated they seem to fuss to pair up and especially if they ever unpaired then it was starting all over again. I love that the minute that I got my AirPods I flipped open the case and right away my iPhone registers that they are there and with the top of a Button on my phone and the top of the button on the AirPods in a couple of seconds I am paired up.

I also have a very nice charger that I bought right here on Amazon for about $25 and it will charge my Apple Pencil my AirPods my Apple Watch and my iPhone all at the same time which is amazing and so nice that I can just click my AirPods case on there and they charge up in a very short time.

First off I’m not a sound engineer or an audio file so I can’t say that they have the absolute best sound quality and I’m sure that they don’t I can’t imagine that if you went out and got some of the beads or some other type of wireless headset that fits over your entire ear with a bigger driver in it that of course it’s going to have better sound quality.
But I love that they are tiny small and easy to just throw in the case. The battery life is great if my case is fully charged with the AirPods in and charged I can go to complete times to almost dead with both AirPods being used. If I only use one way talking on the phone I can go even more so in between case charging times is sometimes over a week which is absolutely amazing. The talk time on them is very long as well. I’ve never sat down and figured up exactly whether I get the exact time that Apple says.
I love that the minute that I put them in my ear I get a nice little tone to let me know that they’ve connected if I’m listening to music and I take them out it automatically pauses. I love that it will even pause my music if I get an iMessage and it will read my message it will tell me who it’s from if they’re in my contact list if not it will read me the phone number and then read me the message and then asked me if I would like to respond all without touching my phone.
I love Apple products even if they are a little more expensive in some areas but I love that for instance with the AirPods home they tie Effortlessly Into my phone my Mac and my iPad.
I absolutely hate when I am talking on the phone for more than a couple of minutes to have to hold the phone. Also I run a business and so I have to multitask sometimes someone calls and I need to be able to pick up a remote to navigate to something to check I may need to grab the computer etc. and having the ability to have both hands free to do something like that while still talking and not worrying about the AirPods falling out of my ear is worth more than the money that I paid for them by far and then all the other features that come with it are great.

So in the end I think that they are amazing and I’ve had it again a number of different Bluetooth headsets and they never fit right they fall out of my ear or the ones that took over my ears are always so uncomfortable after a short period of time that I never ended up using them I always ended up using my wired earbuds that come with my iPhone."
denise bellemeur,5.0 out of 5 stars,"Reviewed in the United States on October 20, 2023","I have an I phone and have used “wire connected ear buds” TOO LONG! I have no idea why, but I purchased these and I can’t say wow, enough!! I have small ears and they fit fine because of the contour. Love the case, magnetic so they don’t fall out, charge quickly. I haven’t paid attention to the longevity of time allowance, but I believe it stated four hours? I just keep my case with me and have adapters everywhere I go anyway so I never run into a problem. The sound is so magnificent. It’s better than any earbud I’ve ever used. The sound is clear, earbuds are durable."
Cindrela,5.0 out of 5 stars,"Reviewed in the United States on October 9, 2023","like them better than the Airpods Pro, exactly because the 'airtightness' of the 'Pros', including the noise cancellation - felt uncomfortable. I was happy to find them at excellent price!"
Kandyce,5.0 out of 5 stars,"Reviewed in the United States on October 5, 2023",I wouldn’t get them because my ears are so small but they are very comfortable. Gave me Apple Music free for 6months. They stay charged a hood while
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on October 12, 2023",These EarPods have great sound and work perfectly! My favorite features are the rechargeable case and that they turn off when you remove it from your ear.
Pongo's mom,5.0 out of 5 stars,"Reviewed in the United States on October 13, 2023",God bless i thought tgese were gonna be auirter and im thankful they arent battery isnt the best on the market but it lasts a good while
ACS413,5.0 out of 5 stars,"Reviewed in the United States on October 16, 2023","I bought these because I was told that they deliver great sound and they fit comfortably in smaller ears, and I guess that was true!

The sound, especially the bass, is very clear. A full charge can last a long time, but that just depends on how often you use it.

They also fit my smaller ears comfortably without straining them and they don't fall out, no matter what I'm doing.

I had a brief problem with the sound dropping from the right ear bud, but I used the Amazon tech walk-through and I have not had the problem since.

Definitely worth the price for me!"
susan rosenberg,4.0 out of 5 stars,"Reviewed in the United States on October 15, 2023","Ignore my previous review. My charging cable had died and I didn't realize it. The only complaint I have about these pods is they make my ears a bit itchy where they contact my skin. I read up on cleaning them and will try that and rewrite this review if that works.
Also want to say that Apple gave me 6 months of music for free - so when all is said and done, the cost of these pods is quite nominal. I know this is not a review of Apple music, and I've yet to compare it to other streaming services, but I don't think I will keep this service."
Amanda Warnke,5.0 out of 5 stars,"Reviewed in the United States on October 17, 2023",These are great for the price I have had the pros which are obviously better but more expensive. These are not noise cancelling but work well
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on November 6, 2023",My adult son prefers this style- he lost his 2nd Gen pair. Now very happy with his new pair (birthday gift from parents). This is the only pair he is comfortable with. You can go wrong with Apple quality- worth the money! Excellent product.
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on November 13, 2023",I can catch up on the phone with the people I love and still do cooking and the dishes while we talk. The people I talk to can hear me great and I can hear them great too!
Juanita Sifuentes,5.0 out of 5 stars,"Reviewed in the United States on October 21, 2023",This is what a family member wanted so she chose this item because she had them before but lost them. She really liked them
Amanda C,5.0 out of 5 stars,"Reviewed in the United States on November 7, 2023","Purchased during prime day, on sale for a great price. Bought one for my husband who doesn't like Apple products, but loves these AirPods also bought a replacement pair as I ran my previous pair into the ground."
K.W.,5.0 out of 5 stars,"Reviewed in the United States on November 15, 2023","I can talk on the phone, watch TV, listen to my computer and batteries last for a long time. The case recharges the ear plugs quickly and keeps them safe when plugs are not in use. I would buy again."
Review Mate,5.0 out of 5 stars,"Reviewed in the United States on November 12, 2023","I love air pods to listen to music and go through a workout routine, they may not be waterproof, but they make it through a shower. Take care and happy shopping."
Carmen G.,5.0 out of 5 stars,"Reviewed in the United States on November 8, 2023","Es un gran cambio de pasar de audifonos de cable a estos AirPods, son super cómodos, fáciles de llevar. Y la batería dura un montón!"
JAT,5.0 out of 5 stars,"Reviewed in the United States on November 5, 2023",They have great sound quality and stay charged for a long time too. Easy to use and lightweight. Works great super happy about this purchase!
Hunter Lorance,5.0 out of 5 stars,"Reviewed in the United States on November 20, 2023",I prefer the 2nd Generation over the other versions of the Airpod. Great sound quality and noise cancellation. They look and feel great as well.
Breanna,5.0 out of 5 stars,"Reviewed in the United States on October 14, 2023","At first I was very skeptical of them being the legit apple AirPods or not, but I can for sure say they are the real apple AirPods, they sound amazing, fit in my ear amazing, and are by far the best purchase I have ever made on Amazon, 10/10 would recommend"
Holly,4.0 out of 5 stars,"Reviewed in the United States on October 8, 2023","After Siri rewards a message to you, the volume of whatever media you're listening to seems to go either up or down. Outside of that, she loves them. Great battery life, definitely helps out with your work day and quality is excellent with excellent user friendly options within the settings."
misty,5.0 out of 5 stars,"Reviewed in the United States on November 11, 2023","I don't notice any noise cancelling, but I'm ok with it. I like being able to hear my music and surroundings at the same time. If you are looking for noise cancelling, look another type of earbud."
Espresso Lover!!,5.0 out of 5 stars,"Reviewed in the United States on May 27, 2023","Let me start by saying that given the price, I didn't actually have high expectations for these. I'm pleased to say that I was pleasantly surprised. They definitely live to Apples quality that we've come to except from their products. The sound in my opinion is excellent and all of the features such as pause, next track and prior track work effortlessly with 2 taps. Paring was a breeze and instant. So far the battery life is decent. That said, I have noticed that the actual case loses its charge a bit faster then the pods themselves but its nothing extreme. All in all I'm very happy with my purchase. They also came quickly. I ordered them on a Tues. night and had them by Thurs. afternoon. For those who are concerned about receiving fakes, they are NOT fake. For over 2 months prior to purchasing these I did sooooo much reading and spent all day Thurs putting them to the test according to what Apple suggests for comparing real vs fake, and then some. Geez, who knew that there are so many ways to check for the authenticity of these. Trust me when I say I did everything! I would caution you not to go my the serial number alone. Sadly the scammers are finding ways around that now according to almost ever article I read including Apple. Perhaps the easiest way to is to check on your "" find my"" app. Apparently the knock offs won't show up on that app. And that's straight from Apple. The second best way I found was, with you ipods connected, go to settings > general > About & scroll down until you see Carrier Lock, just under that you should be able to see your name and airpods. Click on that and then you should be able to see manufacturer, model #, serial #, firmware version and hardware version. If thats missing they're fake. I know that info is also on another part of the phone but thats where you need to see it. According to Apple that information along with ""find my"" are the 2 thing that scammers have yet been able to get around. So with all of that said if you're considering the purchase from here I would say do it. It's a great price and it's not a 3party seller. You can always check it out yourself after receiving them and if need be send them back. And for what its worth, I actually have a pair Beats Wireless earbuds and I personally think these ipods sound much better. I hope this helps. Happy listening."
Plain Jane,4.0 out of 5 stars,"Reviewed in the United States on March 12, 2023","I like the fact that they fit perfect in my ear without me having to keep pushing them in. I bought the AirPod 3 first and they was hurting me so bad I had to keep jamming them in my ear to even hear. Gave them to my daughter. I got these, the 2s and these are great. I’ve had them in all day and have been dancing around and playing with the kids and they are still in my ear. I had forgot that they were which is scary bc I can easily lose them. When I purchased these they arrived half charged and the charging cord and case didn’t work at all so I had to send back and wait two days for the replacement pair. When I got the second pair, the cord didn’t work again however I had a few around the house to use. I couldn’t tell if the case was charging bc this model has no charging indicator unless it’s the light when you open the case. Anyhow, the only way that I was able to see if the case was charging was either one or both of the pods have to be inside the case. If both are in my ear I wouldn’t be able to see if it was charging so I would think that the case was broke and defective. I finally put both pods back in and the case showed up on my phone indicating that it was charging. I took one pod out and was still able to see it charging. When I took both buds out I could not tell if the case was even charging at all until I waited about 30 minutes put both pods back in then the indicator showed back up on my phone on full percent almost. That’s going to be annoying. So far so good on the battery life. I just got them today and have had them in since like 1:00. And they are not dead although I just had them in my ear while doing homework. Not listening to anything. The sound quality kind of sucks which I needed the noise cancellation due to me working at Amazon where it is very loud. It’s clear and good for anywhere besides a loud environment. I have not tried them at work yet but I had a knockoff brand that were louder than these so I know I’ll still have issues with the sound on these. I’ll get the pros for better sound later and give these ones to my son. Overall, I’m satisfied and I’m happy that I have these. Hopefully they perform well and lasts a while. I’ve heard others having there’s for more than three years. I recommend these if you have issues with ear comfort with other ones. These are comfortable. Love them
Update… I did not like them after a couple days. They did start falling out with my oily ears. They wouldn’t stay in. I ordered the 2 generation pros and I’m Inlove and boy are they loud. Spend a few extra dollars and get the pros for better ear support and comfort. I’m never going back to anything else. My last review"
uglynoodlr,5.0 out of 5 stars,"Reviewed in the United States on November 8, 2023",I switched over from 2-year-old 15$ earbuds and I'm listening to my usual songs and omg I'm noticing things I never noticed before LOL
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on October 8, 2023","Bought these for my wife 2 years ago and she hasn't taken them off since. She seems to always have at least one dangling at all times, listening to YouTube and audiobooks. Sometimes she falls asleep with them on."
Charlotte M,5.0 out of 5 stars,"Reviewed in the United States on September 30, 2023","I got this during a prime day sale, and it was one of my better financial decisions, as the audio is high quality, the case holds a charge for days at a time, and the headphones are really lightweight in my ears. I’ve tried to get by with cheaper Bluetooth headphones in the past, and this made me realize I should’ve just bought this and saved myself the time. It’s also easy to customize as you can buy protective cases for it."
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on September 30, 2023","My husband and I both bought a set of these iPods. We love them! When we bought them, they were on a special offer. The charge lasts a long time and charging them is quick."
geoff glantz,5.0 out of 5 stars,"Reviewed in the United States on October 15, 2023","I can listen to music at the gym the iPods last through my whole workout, errands and still have plenty of battery power."
Akiro.S,5.0 out of 5 stars,"Reviewed in the United States on October 10, 2023","I've been using them for 2 years. If I could rate it as 10 stars I would. Good quality, comfy on the ears, stylish, and a real bargain for 90$. The price fluctuates(90-100ish), so take it into consideration."
bb sue,5.0 out of 5 stars,"Reviewed in the United States on November 7, 2023","Hesitated to get these as my ears are not symmetrical and most in ear headphones fall out. These fit, stay in, and sound great."
Ell,5.0 out of 5 stars,"Reviewed in the United States on October 9, 2023",I really love the sound of these airpods and the double-tap feature these have. Charging time is fast and battery lasts long
Nancy,5.0 out of 5 stars,"Reviewed in the United States on October 8, 2023","The Apple AirPods are excellent. They have a hard time falling out of my ear. I love the shape and comfort.

They charge quickly and music sounds great.

The only similar product I’ve seen is by Lenovo I have yet to try because I haven’t needed to with my AirPods! Can’t live without them nowadays."
A. Thompson,5.0 out of 5 stars,"Reviewed in the United States on October 24, 2023","They are exactly what I needed.
sound is very crisp and clear.
battery life last long, I charge once per every five days."
Erick,5.0 out of 5 stars,"Reviewed in the United States on October 9, 2023",In my opinion these are better than the AirPods Pro which I used to own. You don’t have to clean out the eartips or worry about losing them. The battery lasts longer on these. They sound good even without noise cancellation. They are more simpler and are less expensive.
Eloisa Minor,4.0 out of 5 stars,"Reviewed in the United States on September 15, 2023","The description I read about this product said that the AirPods came with the medium eye tips attached and three additional sizes of tips enclosed in the box. THERE WERE NO EARTIPS ON THE PODS OR IN THE BOX, Luckily there is an Apple Store in our city so I can go buy some eartips but I’m really offended that such a reputable product was sent out missing essential parts! Otherwise, so far, the product seems as advertised."
Michaela G,5.0 out of 5 stars,"Reviewed in the United States on October 19, 2023","Personally I love them, they are small and easy to bring with wherever I go. Perfect for college and walking to and from class. Sounds is good, calling normally works great. I don't own an iPhone and they work great but a few less features but I knew that going in."
Aaron,5.0 out of 5 stars,"Reviewed in the United States on October 11, 2023","Apple has found gold with their airpods. They have gone through the wash multiple times and still worked. I just bought a new pair for my wife because I know they will get used and last forever. Great product, and worth every penny over the competition."
Luke,5.0 out of 5 stars,"Reviewed in the United States on July 28, 2023","The Apple AirPods 2nd Generation have proven to be an absolute hit, and my niece absolutely loves them! These wireless earbuds have become an essential companion for her daily activities, from listening to music and podcasts to taking calls and engaging in virtual classes.

One of the standout features of the AirPods 2nd Gen is their seamless connectivity with Apple devices. The pairing process is incredibly easy, and once connected, they automatically sync with her iPhone, iPad, and other Apple devices. This simplicity and convenience have made her life much easier, as she can switch between devices effortlessly without any interruption.

The sound quality of the AirPods is outstanding. They deliver clear, crisp audio with excellent bass, enhancing her music-listening experience. Whether she's enjoying her favorite tunes or watching videos, the AirPods ensure an immersive sound experience without any distortion.

The design of the AirPods is both sleek and comfortable. They fit perfectly in her ears, and she can wear them for extended periods without any discomfort. The earbuds' lightweight construction allows her to use them during workouts, without worrying about them falling out or causing any irritation.

Battery life has been impressive as well. The AirPods hold a charge for several hours of continuous use, and the included charging case provides multiple additional charges on the go, ensuring they are always ready for use.

Moreover, the AirPods' portability and compact charging case allow her to carry them anywhere conveniently. The case also offers protection and keeps the AirPods safe when not in use."
mat57400,4.0 out of 5 stars,"Reviewed in the United States on October 27, 2023",After trying so bargain earbuds I bought these AirPods 2Gen. Surely best compared to the < $50 I tried yet not completely satisfied as while sound’s great bass is too lacking and no EQ available. They fall out sometimes for no understandable reasons. Clear and great phone conversation and incredible quick connection to IPhones. So yeah there’re better than most lower priced devices yet I’m still looking for better bass sound
SJ mom,5.0 out of 5 stars,"Reviewed in the United States on October 10, 2023","My son loved them. Uses everyday. Great value and easy to use. The fit was perfect and comfortable, noise cancelling is amazing"
Megan Briggs,5.0 out of 5 stars,"Reviewed in the United States on October 2, 2023","So here’s my personal truth! I’ve had all the AirPods! I absolutely abhor the third generation AirPods. Because they are too small and they don’t fit in my ear, no matter which plastic covering I choose. I like the ease of just tapping the air pods to turn off and on and not having to squeeze the bottom of them to turn them off. I went back to the basics. I love the second generation. They charge quick last long and they fit in my ear ! Plus they are the most durable!!!"
Bobo,4.0 out of 5 stars,"Reviewed in the United States on September 27, 2023",My last AirPods finally died for good so I got some new ones and these are great but for some reason the case doesn’t charge if I use any of my other chargers (the charger I got with the AirPods works but it’s still weird)
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on October 22, 2023","Not the newest version of EarPods, but I think these are better, good size and functions that are needed are all there."
Adrienna Francisco,4.0 out of 5 stars,"Reviewed in the United States on November 13, 2023","I bought these after my grandma accidentally washed my old ones, and it was apple product. Actually airpods! They didn’t get damaged during shipping and they have a long battery life. Safe to say I would buy again (hopefully they don’t get out through the washer)!"
Bill,4.0 out of 5 stars,"Reviewed in the United States on November 1, 2023","These air pods which I had previously, fit well and had great sound. However, after some time, the battery lasted less than two hours of cycling so I eventually needed to replace them. I wish there was an option to replace the rechargeable battery."
Nate,5.0 out of 5 stars,"Reviewed in the United States on October 24, 2023","These are the only earbuds I can buy that don't irritate my ears. So, I'm stuck with them. I wish I could get high end features without the allergic reaction, but this is the cross I bear."
Priscilla J,5.0 out of 5 stars,"Reviewed in the United States on September 26, 2023","I always stared away from these because the wired versions were always so uncomfortable when earbuds used to come with iPhones. I have smaller ears so I figured they wouldn't stay in my ears right or they would hurt. I've always been a user of the Skullcandy wireless earbuds but now they're getting to the point where they are $60, $70, or $80 there really isn't that big of a deal in spending a little bit more. And I'm very glad that I did the sound is 10 times better it's way louder. Definitely better it definitely works with your iPhone better!"
Terrible laser,5.0 out of 5 stars,"Reviewed in the United States on November 1, 2023",These AirPods are the best headphones they have great battery life and the sound awesome the base is awesome and they are great quality
Vick,4.0 out of 5 stars,"Reviewed in the United States on October 31, 2023",I love the general idea. The sound is amazing. The only drawback for me is they don’t want to stay in my ears. I have ordered a different pair (more money) that have a cushioned adjustable ear piece. Apple is the best.
brando,5.0 out of 5 stars,"Reviewed in the United States on October 11, 2023","I had hesitated about buying these for a while and finally gave in and I’m so glad that I did. The sound quality is amazing, and the clarity when using them for phone calls is 🤌🏻🤌🏻🤌🏻"
April,5.0 out of 5 stars,"Reviewed in the United States on August 9, 2023","I've been using the Apple AirPods 2nd Generation for a few weeks now, and I'm absolutely blown away by their performance. The wireless connection is rock solid, and the sound quality is fantastic. Whether I'm listening to music, watching videos, or taking calls, the audio is clear and crisp, with just the right amount of bass.

The convenience of the wireless design cannot be overstated. It's liberating to move around without any cords getting in the way, and the AirPods stay comfortably in my ears, even during workouts. The lightning charging case is a great addition – it keeps my AirPods protected and provides multiple charges on the go. Setup was a breeze; they connected seamlessly to my iPhone as soon as I opened the case.

The touch controls are intuitive and responsive. I can pause/play, skip tracks, and even activate Siri with a simple tap. Speaking of Siri, the voice recognition is surprisingly accurate, making it easy to make calls and send messages hands-free.

Battery life is solid; I can easily get through a day of use without needing to recharge the case. The seamless integration with the Apple ecosystem is a huge plus – I can switch between devices effortlessly, and the automatic pausing when I remove an AirPod is a small but brilliant feature.

While they might seem a bit pricey, the Apple AirPods 2nd Generation are worth every penny for the audio quality, convenience, and overall user experience they provide. If you're looking for top-notch wireless earbuds, these are definitely worth considering!"
Delores Harris,5.0 out of 5 stars,"Reviewed in the United States on September 22, 2023","I didn't know that you could order the earbuds to fit your ears right, they left my ears with sores at the top of my ears. So I haven't ordered them again. They also get loss and drop out of your ear. Mine fell out on the airplane and I couldn't find it before I got off, I was the last person on the airplane."
Kallie,5.0 out of 5 stars,"Reviewed in the United States on September 30, 2023","I might be the only person that doesnt like the little foam pieces on earbuds these days, but they just hurt my smaller ears!

This style of AirPod has always fit well, and gives a great sound quality. Took me awhile to buy them, but I can tell you they are worth it."
MBA Squared,5.0 out of 5 stars,"Reviewed in the United States on September 18, 2023","I had only used off brand earbuds because I am just nervous about losing something expensive, but the tracking mechanisms work pretty well to prevent that. There is also battery percentage monitoring from your iPhone, which is really helpful to maintain them. The sound is overall better also and they are comfortable to use for long periods of time. It's also nice that there are so many cases and skins that fits, that is not so much an option with other brands. I would have liked to have had wireless charging."
HerBag,4.0 out of 5 stars,"Reviewed in the United States on November 1, 2023",Packaging wasn’t good item came in big brown Amazon paper bag did receive item on time they seemed a little smallerI did try them out had a little trouble connecting afterwards my daughter decided she wanted the newer iPods returning item color was correct
Brooke,5.0 out of 5 stars,"Reviewed in the United States on October 25, 2023","Great purchase. Even though these are not the pro, these are still great quality. Especially at a reduced price for refurb."
PD,5.0 out of 5 stars,"Reviewed in the United States on October 18, 2023",I don’t know why I didn’t buy these a lot earlier instead of fooling around with other brands! These were perfect and they work well even if they are an older model the price can’t be beat
Shyrokker,5.0 out of 5 stars,"Reviewed in the United States on September 27, 2023","They sound very clear, music sounds great with them. They fit good and they don’t fall out- and don’t normally hurt the ear - but if you wear them for a few hours your ear does get a little sore. Good product, I recommend."
@iam.lynneah,5.0 out of 5 stars,"Reviewed in the United States on September 27, 2023","I’ve been using these AirPods since I bought them and I would say it’s been about a year not sure, but they still work fine and I am actually considering buying another pair of the same generation, even though they have about two newer generations out"
Valentyn Parafin,5.0 out of 5 stars,"Reviewed in the United States on October 25, 2023","We bought it for the whole family, we really liked it, the quality is excellent, fast delivery, I will buy more from Amazon"
Mindy Rosenman,4.0 out of 5 stars,"Reviewed in the United States on November 16, 2023","Got 2 these on sale for 70$ for me and my son, I’d say it’s worth it for the price, a nice upgrade from the 1st generation which broke on me in less than a year hopefully these last a little longer… overall sound quality and bass is great just wish they were noise cancelling"
Dkb,5.0 out of 5 stars,"Reviewed in the United States on September 28, 2023","Finally purchased a pair. I love the quality of Apple headphones, so I knew these would be great. The noise cancellation works well, the Bluetooth range exceeds my needs, no issues with phone calls, etc."
Adrian balboa,5.0 out of 5 stars,"Reviewed in the United States on October 30, 2023","Es muy importante destacar la rapidez y el empaquetado de los productos a parte de que es una compañía dedicada a su trabajo por que es muy bueno lo recomiendo muchísimo porque se encargan de que el producto llegue a su destino en muy buen estado
Estoy muy feliz y complacido de comprar en Amazon
GRACIAS"
Sorangel Feliz Polanco,5.0 out of 5 stars,"Reviewed in the United States on October 19, 2023","En las llamadas se escucha bien, la batería dura muchísimo! Me sorprende lo que me dura, veo series y duro hasta dos dias sin cargarlo, se conecta súper fácil y fácil de usar, el Telefono se conecta súper rápido y la iPad también"
Taku Hove,5.0 out of 5 stars,"Reviewed in the United States on November 8, 2023",It is really a good buy. The sound quality as well as the features are really amazing especially considering the features are customisable
mesh,5.0 out of 5 stars,"Reviewed in the United States on September 16, 2023",My teenage Son has a tendency of losing his AirPods so I decided to revert back to the cheapest version Apple sells & these do not disappoint! He said the sound quality is just as good as the newest generation AirPods & the noise cancellation is great as well. He’s 17yo & these fit perfectly in his ears & do not fall out. He wears these during his school days & then after during his 4-6 hour workday & can go a couple days without charging them. These come with a charging cord but no block. When I do charge them the charge to 100% is fast. For $99 these are well worth it. I purchased the Apple Care+ coverage in case these go bad & that was well worth the cost. A great Apple product I’m happy I could purchase from Amazon! I definitely recommend!
GatCat,5.0 out of 5 stars,"Reviewed in the United States on September 22, 2023","Crispy chicken volleyball is a wonderful way to start the day. Listening to sand, or leaning on a bench slide. Find your new in water or purple. Meaningless words for a review that needs no explanation. Buy the AirPods for under $100. If you have weird ears like me, they won’t fall out."
Lukas Thomas,5.0 out of 5 stars,"Reviewed in the United States on October 18, 2023",I don't like the new AirPods so I'm glad I can still buy these old ones. Works like a charm!
Gregory Evans,5.0 out of 5 stars,"Reviewed in the United States on November 4, 2023",Prefer these over and other AirPods batter life is pretty good charges fast and fits in your ears pretty good.
Susan Goldsand,5.0 out of 5 stars,"Reviewed in the United States on October 4, 2023","Love these Air buds, they work perfectly and fit better in my ears. I owned Bose ear buds and a year after having them, they crapped out. Bose did not stand behind their product and offered a refurbished pair for 75% of what I originally paid for a new pair! No thanks."
Ceejay Thorne,5.0 out of 5 stars,"Reviewed in the United States on July 23, 2023","I hate the new generation! These for my ears and don’t hurt. The price is reasonable. Why pay an unreasonable price to hurt your ears? Then again we are a society that has to have the newest most expensive thing because we need to keep up with Mr. and Mrs. Jones, right? So I guess if that’s your thing, go ahead and buy the new generation, but these are much better and more comfortable so I will stick with the older generations. I’ve never been one to have to keep up with the crowd. I hate contributing to the over market of happening to buy the brand. New iPhone is brand new earbuds and happening to keep out dating of things every year and make things insufficient. It only contributes to the increase of the landfills so I’m gonna give props to every single person who purchases an older generation and refurbished items. And if you buy it, just because you are on a frugal and or frugal budget or you’re a broke person and just want an earbud that is good quality I will give props to you too, because without knowing it you are purchasing something that is not going with the flow of society"
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on August 30, 2023","Let me explain why I rated the battery life to be so low. As of now, I bought these airpods in 2020 and at the tail end of 2022, and more recently in 2023, the battery slowly declined. Although I understand that these products don't last forever, I still wanted to point out that the battery life deteriorated after only two years of use..
Within the first 1.5-2 years of use, the battery was great! I went a whole day or three without having to charge them. The right air bud died much quicker than the left, even though I put them on at the same time. After two and a half years, both AirPods batteries died quickly. Since January, the left one doesn't last as long and I can only use the right one for 10 minutes. I used to connect them to my HP, but since January, it no longer works. I'm debating on ordering more because they are useful when using my phone."
Gladys Gutierrez,5.0 out of 5 stars,"Reviewed in the United States on November 3, 2023","The sound quality is splendid, and it all works very well! Great purchase would recommend if you have the money"
Katie Winter,5.0 out of 5 stars,"Reviewed in the United States on October 22, 2023",Great sound and quality for the price. Super easy to blu-tooth to my phone as well. Highly recommend!
Cyndi,5.0 out of 5 stars,"Reviewed in the United States on October 1, 2023","I’ve had my Apple iPods for a while now, after buying probably six or seven of the less expensive pairs. It is worth the extra expense, believe me. My husband asked me to get him a pair, and he absolutely loves them. He wears them every time he’s exercising or goes out for a walk. They come in very clearly and you can take phone calls as well as listen to your favorite tunes. I would highly recommend."
Tom Nisbet,5.0 out of 5 stars,"Reviewed in the United States on October 5, 2023","I like them more than expected. I would have enjoyed the newer version with volume control but I grew up without remotes of any kind. After a number of hours the batteries will need charged but during sleepless nights I can enjoy music while the wife sleeps. This model wasn’t built with complete noise reduction, both a good/bad situation, I’m not oblivious to the world."
Guga,5.0 out of 5 stars,"Reviewed in the United States on October 22, 2023","for 100 dollars, you can not go wrong, works on your apple devices. I have had used mine for 2-3 years, never failed for me,upgraded to AirPods pro, Bought this one for my brother."
Keith Mosley,5.0 out of 5 stars,"Reviewed in the United States on October 19, 2023","These airpods are great as long as you are not looking for noise cancelling, they cancel a little but of noise but not much, in my case I use them for work and they are perfect because I can still hear if someone calls my name while still listening to my music."
Maribel Estrada,5.0 out of 5 stars,"Reviewed in the United States on November 18, 2023",I got these for my daughter. She loves them. They came with the one year warranty with the Apple company.
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on November 19, 2023",There is nothing to dislike. If you have earplugs with wire’s you know what a pain they are. Fantastic product
Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on November 2, 2023","I bought these for my wife, she loves them and says they’re comfortable and get very loud I highly recommend."
